Job Title,City,Salary,Experience Level,Cloud Platform,Company Size
Cloud Solutions Architect,San Francisco,185000,Senior,AWS,Large
Cloud Solutions Architect,New York,178000,Senior,Azure,Large
Cloud Solutions Architect,Seattle,182000,Senior,AWS,Large
Cloud Solutions Architect,Austin,165000,Mid-Level,GCP,Medium
Cloud Solutions Architect,Chicago,160000,Mid-Level,AWS,Large
Cloud Solutions Architect,Denver,158000,Mid-Level,Azure,Medium
Cloud Solutions Architect,Boston,175000,Senior,GCP,Large
Cloud Solutions Architect,Atlanta,155000,Mid-Level,AWS,Medium
Cloud Solutions Architect,Los Angeles,172000,Senior,Azure,Large
Cloud Solutions Architect,Dallas,152000,Mid-Level,AWS,Medium
DevOps Engineer,San Francisco,170000,Senior,AWS,Large
DevOps Engineer,New York,165000,Senior,Azure,Large
DevOps Engineer,Seattle,168000,Senior,GCP,Large
DevOps Engineer,Austin,148000,Mid-Level,AWS,Medium
DevOps Engineer,Chicago,145000,Mid-Level,Azure,Medium
DevOps Engineer,Denver,142000,Mid-Level,AWS,Small
DevOps Engineer,Boston,160000,Senior,AWS,Large
DevOps Engineer,Atlanta,138000,Mid-Level,GCP,Medium
DevOps Engineer,Los Angeles,155000,Senior,Azure,Large
DevOps Engineer,Dallas,140000,Mid-Level,AWS,Medium
DevOps Engineer,San Francisco,135000,Junior,AWS,Medium
DevOps Engineer,New York,130000,Junior,Azure,Large
DevOps Engineer,Seattle,132000,Junior,GCP,Medium
Cloud Security Engineer,San Francisco,180000,Senior,AWS,Large
Cloud Security Engineer,New York,175000,Senior,Azure,Large
Cloud Security Engineer,Seattle,178000,Senior,AWS,Large
Cloud Security Engineer,Austin,158000,Mid-Level,GCP,Medium
Cloud Security Engineer,Chicago,155000,Mid-Level,AWS,Large
Cloud Security Engineer,Denver,150000,Mid-Level,Azure,Medium
Cloud Security Engineer,Boston,172000,Senior,AWS,Large
Cloud Security Engineer,Atlanta,148000,Mid-Level,Azure,Medium
Cloud Security Engineer,Los Angeles,168000,Senior,GCP,Large
Cloud Security Engineer,Dallas,145000,Mid-Level,AWS,Medium
Cloud Data Engineer,San Francisco,168000,Senior,GCP,Large
Cloud Data Engineer,New York,162000,Senior,AWS,Large
Cloud Data Engineer,Seattle,165000,Senior,GCP,Large
Cloud Data Engineer,Austin,145000,Mid-Level,AWS,Medium
Cloud Data Engineer,Chicago,142000,Mid-Level,Azure,Large
Cloud Data Engineer,Denver,138000,Mid-Level,GCP,Medium
Cloud Data Engineer,Boston,158000,Senior,AWS,Large
Cloud Data Engineer,Atlanta,135000,Mid-Level,GCP,Medium
Cloud Data Engineer,Los Angeles,155000,Senior,Azure,Large
Cloud Data Engineer,Dallas,132000,Mid-Level,AWS,Medium
Cloud Data Engineer,San Francisco,125000,Junior,GCP,Medium
Cloud Data Engineer,New York,120000,Junior,AWS,Large
Cloud Network Engineer,San Francisco,160000,Senior,AWS,Large
Cloud Network Engineer,New York,155000,Senior,Azure,Large
Cloud Network Engineer,Seattle,158000,Senior,AWS,Large
Cloud Network Engineer,Austin,140000,Mid-Level,Azure,Medium
Cloud Network Engineer,Chicago,138000,Mid-Level,AWS,Medium
Cloud Network Engineer,Denver,135000,Mid-Level,GCP,Small
Cloud Network Engineer,Boston,152000,Senior,AWS,Large
Cloud Network Engineer,Atlanta,132000,Mid-Level,Azure,Medium
Cloud Network Engineer,Los Angeles,148000,Senior,GCP,Large
Cloud Network Engineer,Dallas,130000,Mid-Level,AWS,Medium
Site Reliability Engineer,San Francisco,178000,Senior,GCP,Large
Site Reliability Engineer,New York,172000,Senior,AWS,Large
Site Reliability Engineer,Seattle,175000,Senior,GCP,Large
Site Reliability Engineer,Austin,155000,Mid-Level,AWS,Medium
Site Reliability Engineer,Chicago,150000,Mid-Level,Azure,Large
Site Reliability Engineer,Denver,148000,Mid-Level,GCP,Medium
Site Reliability Engineer,Boston,168000,Senior,AWS,Large
Site Reliability Engineer,Atlanta,145000,Mid-Level,GCP,Medium
Site Reliability Engineer,Los Angeles,165000,Senior,Azure,Large
Site Reliability Engineer,Dallas,142000,Mid-Level,AWS,Medium
Site Reliability Engineer,San Francisco,140000,Junior,GCP,Large
Site Reliability Engineer,Seattle,135000,Junior,AWS,Medium
Cloud Database Administrator,San Francisco,155000,Senior,AWS,Large
Cloud Database Administrator,New York,150000,Senior,Azure,Large
Cloud Database Administrator,Seattle,152000,Senior,AWS,Large
Cloud Database Administrator,Austin,135000,Mid-Level,Azure,Medium
Cloud Database Administrator,Chicago,132000,Mid-Level,AWS,Medium
Cloud Database Administrator,Denver,128000,Mid-Level,GCP,Small
Cloud Database Administrator,Boston,148000,Senior,AWS,Large
Cloud Database Administrator,Atlanta,125000,Mid-Level,Azure,Medium
Cloud Database Administrator,Los Angeles,145000,Senior,GCP,Large
Cloud Database Administrator,Dallas,122000,Mid-Level,AWS,Medium
Cloud Platform Engineer,San Francisco,172000,Senior,GCP,Large
Cloud Platform Engineer,New York,168000,Senior,AWS,Large
Cloud Platform Engineer,Seattle,170000,Senior,Azure,Large
Cloud Platform Engineer,Austin,150000,Mid-Level,GCP,Medium
Cloud Platform Engineer,Chicago,148000,Mid-Level,AWS,Large
Cloud Platform Engineer,Denver,145000,Mid-Level,Azure,Medium
Cloud Platform Engineer,Boston,165000,Senior,GCP,Large
Cloud Platform Engineer,Atlanta,142000,Mid-Level,AWS,Medium
